contractId,infraYear,budget,ndbi_d,ndvi_d,bsi_d,change_class,confidence,flagged,reason
24L00110,2024,91500000.0,0.0307,-0.0608,0.0308,no_change,0.939,True,completed_no_satellite_change
24BH0235,2024,96499766.88,-0.0043,-0.0861,-0.0019,partial_construction,0.172,True,completed_minimal_construction_evidence
24A00286,2024,48249873.05,-0.0051,0.0156,-0.0102,no_change,0.984,True,completed_no_satellite_change
24E00180,2024,194927222.83,0.0136,0.0019,0.0099,no_change,0.986,True,completed_no_satellite_change
24GA0012,2024,98009977.99,0.0002,0.0123,-0.0079,no_change,0.988,True,completed_no_satellite_change
24BF0013,2024,96488772.99,-0.0026,-0.0028,-0.0029,no_change,0.997,True,completed_no_satellite_change
24CD0052,2024,68844853.57,0.0279,0.0046,0.0168,no_change,0.972,True,completed_no_satellite_change
24OB0186,2024,141782501.1,0.06,-0.0883,0.0675,partial_construction,0.18,True,completed_minimal_construction_evidence
24ME0005,2024,48889616.12,0.0082,0.0091,0.003,no_change,0.991,True,completed_no_satellite_change
24CJ0088,2024,92954070.0,-0.0133,-0.0182,-0.0058,no_change,0.982,True,completed_no_satellite_change
24MC0030,2024,48264187.28,0.0068,-0.0521,0.0163,no_change,0.948,True,completed_no_satellite_change
24MC0053,2024,48755000.0,0.0385,-0.1096,0.051,partial_construction,0.219,True,completed_minimal_construction_evidence
24AJ0017,2024,47784593.1,-0.0151,0.017,-0.0172,no_change,0.983,True,completed_no_satellite_change
24AD0086,2024,5688855.8,-0.0142,0.0157,-0.0194,no_change,0.984,True,completed_no_satellite_change
24CK0079,2024,96461259.27,0.084,-0.1917,0.0661,vegetation_cleared,0.298,True,completed_only_clearing_detected
24E00050,2024,247496440.54,0.0477,-0.1076,0.0303,partial_construction,0.215,True,completed_minimal_construction_evidence
24OE0038,2024,96362389.26,-0.0136,0.009,-0.0124,no_change,0.986,True,completed_no_satellite_change
24FB0144,2024,29398860.04,0.0079,-0.0135,0.0079,no_change,0.987,True,completed_no_satellite_change
24BA0019,2024,9410347.96,0.0386,-0.0325,0.0208,no_change,0.961,True,completed_no_satellite_change
24OE0068,2024,48981727.08,-0.0028,0.0063,0.0029,no_change,0.994,True,completed_no_satellite_change
24FG0065,2024,51940000.0,0.0206,-0.0285,0.0096,no_change,0.972,True,completed_no_satellite_change
24CD0032,2024,96499880.38,0.0074,0.0134,0.0005,no_change,0.987,True,completed_no_satellite_change
24DJ0009,2024,77562840.0,0.0143,-0.0821,0.0305,partial_construction,0.164,True,completed_minimal_construction_evidence
24ED0017,2024,48999940.58,-0.0596,0.0335,-0.0474,partial_construction,0.179,True,completed_minimal_construction_evidence
24JE0024,2024,39174963.49,-0.0025,0.0488,-0.0081,no_change,0.951,True,completed_no_satellite_change
24OC0015,2024,39200000.0,0.0033,-0.0151,-0.0,no_change,0.985,True,completed_no_satellite_change
